"","AdmArea","Month","Year","TotalAmount"
"403","Северо-Западный административный округ","Август",2018,1178489683
"404","Зеленоградский административный округ","Август",2018,382319708
"405","Новомосковский административный округ","Август",2018,196069938
"406","Троицкий административный округ","Август",2018,66766129
"407","Центральный административный округ","Январь",2019,1282372753
"408","Северный административный округ","Январь",2019,1754330225
"409","Северо-Восточный административный округ","Январь",2019,2025025354
"410","Восточный административный округ","Январь",2019,2209794982
"411","Юго-Восточный административный округ","Январь",2019,2079956737
"412","Южный административный округ","Январь",2019,2330460636
"413","Юго-Западный административный округ","Январь",2019,2165392976
"414","Западный административный округ","Январь",2019,1769795876
"415","Северо-Западный административный округ","Январь",2019,1281857832
"416","Зеленоградский административный округ","Январь",2019,404899545
"417","Новомосковский административный округ","Январь",2019,268358277
"418","Троицкий административный округ","Январь",2019,119859972
"419","Центральный административный округ","Апрель",2019,1376249632.96
"420","Северный административный округ","Апрель",2019,1795355955
"421","Северо-Восточный административный округ","Апрель",2019,2
"422","Восточный административный округ","Апрель",2019,2224982559.5
"423","Юго-Восточный административный округ","Апрель",2019,2134734996.6
"424","Южный административный округ","Апрель",2019,2340221255
"425","Юго-Западный административный округ","Апрель",2019,2183332.97
"426","Западный административный округ","Апрель",2019,1793491100
"427","Северо-Западный административный округ","Апрель",2019,1291987893
"428","Зеленоградский административный округ","Апрель",2019,408363903
"429","Новомосковский административный округ","Апрель",2019,258064943
"430","Троицкий административный округ","Апрель",2019,108931730
"431","Центральный административный округ","Март",2019,1300946634
"432","Северный административный округ","Март",2019,1779416884
"433","Северо-Восточный административный округ","Март",2019,2058141687
"434","Восточный административный округ","Март",2019,2233790768
"435","Юго-Восточный административный округ","Март",2019,2120559260
"436","Южный административный округ","Март",2019,2366923300
"437","Юго-Западный административный округ","Март",2019,2213584916
"438","Западный административный округ","Март",2019,1797015730
"439","Северо-Западный административный округ","Март",2019,1303156245
"440","Зеленоградский административный округ","Март",2019,414976185
"441","Новомосковский административный округ","Март",2019,259695544
"442","Троицкий административный округ","Март",2019,109957139
"443","Северо-Восточный административный округ","Август",2018,1837228690
"444","Центральный административный округ","Май",2019,1320926822
"445","Северный административный округ","Май",2019,1805812716
"446","Северо-Восточный административный округ","Май",2019,2044923097
"447","Восточный административный округ","Май",2019,2235784759
"448","Юго-Восточный административный округ","Май",2019,2117218679
"449","Южный административный округ","Май",2019,2354273339
"450","Юго-Западный административный округ","Май",2019,2191790831
"451","Западный административный округ","Май",2019,1795285269
"452","Северо-Западный административный округ","Май",2019,1302288019
"453","Зеленоградский административный округ","Май",2019,417757800
"454","Новомосковский административный округ","Май",2019,252934228
"455","Троицкий административный округ","Май",2019,100455200
"456","Центральный административный округ","Июль",2019,1294459975
"457","Северный административный округ","Июль",2019,1716048279
"458","Северо-Восточный административный округ","Июль",2019,1972089268
"459","Восточный административный округ","Июль",2019,2157867842
"460","Юго-Восточный административный округ","Июль",2019,2035206955
"461","Южный административный округ","Июль",2019,2267800329
"462","Юго-Западный административный округ","Июль",2019,2125961522
"463","Западный административный округ","Июль",2019,1745763921
"464","Северо-Западный административный округ","Июль",2019,1253602160
"465","Зеленоградский административный округ","Июль",2019,397835755
"466","Новомосковский административный округ","Июль",2019,231485689
"467","Троицкий административный округ","Июль",2019,78519533
